scorer,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick
labeled-data/ClosedHand_Extended/img084.png,193.77448227448232,119.45787995787998,215.3399438399439,186.17602667602665,189.7309582309583,167.98016848016846,157.38276588276594,153.82783432783435,166.81765531765538,182.8064233064233,170.18725868725878,213.8067743067743,169.51333801333809,230.65479115479116,143.90435240435247,106.65338715338714,72.46876096876102,154.501755001755,75.16444366444372,182.8064233064233,92.68638118638128,210.43717093717095,110.88223938223948,232.67655317655317,86.62109512109518,108.67514917514916,,,,,,,,,55.620744120744206,136.3058968058968,,,,,,,,,,,,,512.5389610389611,134.28413478413478
labeled-data/ClosedHand_Extended/img086.png,199.16584766584774,115.4143559143559,218.70954720954725,182.13250263250262,192.426640926641,170.67585117585116,156.0349245349246,148.43646893646894,165.46981396981406,180.1107406107406,165.46981396981406,205.71972621972623,167.49157599157607,220.54598104598102,143.90435240435247,105.97946647946645,74.49052299052309,145.74078624078624,76.5122850122851,176.06721656721658,88.6428571428572,205.04580554580554,111.55616005616011,230.65479115479116,86.62109512109518,109.34906984906985,,,,,,,,,54.272902772902825,133.6102141102141,,,,,,,,,,,,,518.6042471042472,145.06686556686554
labeled-data/ClosedHand_Extended/img104.png,195.79624429624434,115.4143559143559,218.70954720954725,173.37153387153387,182.99175149175156,163.93664443664443,147.27395577395586,139.0015795015795,151.3174798174799,170.67585117585116,158.73060723060732,194.26307476307477,160.07844857844864,212.45893295893296,140.53474903474913,98.56633906633908,63.70779220779227,137.65373815373817,68.42523692523699,167.30624780624782,83.92541242541247,190.21955071955074,105.49087399087406,220.54598104598102,85.27325377325386,98.56633906633908,,,,,,,,,52.9250614250615,118.1100386100386,,,,,,,,,,,,,508.4954369954371,145.06686556686554
labeled-data/ClosedHand_Extended/img119.png,203.88329238329246,119.45787995787998,213.99210249210253,184.82818532818533,181.64391014391023,167.30624780624782,147.27395577395586,138.3276588276588,156.0349245349246,176.74113724113727,160.07844857844864,196.95875745875747,168.16549666549676,219.1981396981397,154.0131625131626,103.2837837837838,73.8166023166024,143.04510354510353,69.77307827307837,173.37153387153387,87.29501579501587,198.9805194805195,104.14303264303274,226.61126711126713,87.96893646893656,101.93594243594242,,,,,,,,,49.555458055458104,130.24061074061075,,,,,,,,,,,,,519.2781677781678,145.74078624078624
labeled-data/ClosedHand_Extended/img122.png,202.53545103545113,124.84924534924534,220.05738855738863,188.19778869778867,186.36135486135495,172.02369252369255,158.05668655668663,148.43646893646894,162.10021060021066,183.480343980344,164.79589329589336,213.8067743067743,168.8394173394174,225.93734643734643,143.90435240435247,108.00122850122852,69.77307827307837,149.78431028431027,72.46876096876102,177.4150579150579,89.31677781677789,206.39364689364692,110.88223938223948,232.00263250263248,83.25149175149184,108.00122850122852,,,,,,,,,52.9250614250615,129.56669006669006,,,,,,,,,,,,,515.9085644085645,145.06686556686554
labeled-data/ClosedHand_Extended/img133.png,218.03562653562662,142.3711828711829,232.18796068796078,207.06756756756755,202.53545103545113,191.56739206739206,168.8394173394174,177.4150579150579,176.25254475254482,208.41540891540893,180.29606879606885,231.32871182871185,182.31783081783087,250.87241137241136,150.6435591435592,126.87100737100735,80.55580905580914,174.04545454545456,81.22972972972983,205.71972621972623,95.38206388206393,236.04615654615657,118.96928746928754,261.65514215514213,94.7081432081433,125.52316602316603,,,,,,,,,65.05563355563365,159.2191997191997,,,,,,,,,,,,,522.6477711477712,139.6755001755002
labeled-data/ClosedHand_Extended/img138.png,219.38346788346794,143.71902421902422,237.57932607932614,211.78501228501227,207.9268164268165,203.02404352404352,183.66567216567225,182.13250263250262,186.36135486135495,219.8720603720604,189.7309582309583,242.7853632853633,192.426640926641,261.65514215514213,158.73060723060732,128.89276939276937,87.96893646893656,179.43681993681992,90.66461916461921,210.43717093717095,104.14303264303274,244.13320463320463,123.68673218673226,269.06826956826956,106.16479466479475,131.58845208845207,,,,,,,,,73.8166023166024,161.9148824148824,,,,,,,,,,,,,515.9085644085645,142.3711828711829
labeled-data/ClosedHand_Extended/img139.png,218.03562653562662,148.43646893646894,235.55756405756412,215.15461565461567,212.6442611442612,204.37188487188484,185.68743418743426,188.19778869778867,189.0570375570376,220.54598104598102,189.7309582309583,242.7853632853633,192.426640926641,262.3290628290628,161.42628992628997,134.95805545805547,89.99069849069858,183.480343980344,89.99069849069858,219.8720603720604,104.14303264303274,244.13320463320463,127.05633555633565,272.43787293787295,101.44734994735003,133.6102141102141,,,,,,,,,71.1209196209197,165.2844857844858,,,,,,,,,,,,,519.9520884520886,134.28413478413478
labeled-data/ClosedHand_Extended/img167.png,226.79659529659537,154.501755001755,,,,,226.12267462267468,188.87170937170936,237.57932607932614,222.56774306774304,234.88364338364343,244.80712530712532,228.81835731835739,269.74219024219025,180.96998946998954,141.02334152334151,144.57827307827316,203.6979641979642,141.20866970866976,231.32871182871185,152.66532116532122,260.3073008073008,169.51333801333809,285.24236574236573,141.20866970866976,146.41470691470693,,,,,,,,,123.68673218673226,183.480343980344,,,,,,,,,,,,,508.4954369954371,134.28413478413478
labeled-data/ClosedHand_Extended/img174.png,234.88364338364343,153.82783432783435,,,,,249.0359775359776,201.6762021762022,255.1012636012637,234.69831519831519,251.7316602316603,257.6116181116181,248.3620568620569,275.1335556335556,191.7527202527203,149.11038961038963,165.46981396981406,215.15461565461567,160.07844857844864,246.15496665496664,171.5351000351001,277.8292383292383,189.7309582309583,300.06862056862053,155.36100386100392,155.84959634959637,,,,,,,,,142.55651105651114,201.0022815022815,,,,,,,,,,,,,514.5607230607231,129.56669006669006
labeled-data/ClosedHand_Extended/img179.png,243.64461214461224,157.87135837135838,,,,,261.84047034047046,209.08932958932957,267.9057564057565,247.50280800280802,266.5579150579151,267.72042822042823,261.1665496665497,289.28588978588976,209.27465777465787,157.87135837135838,182.99175149175156,225.26342576342574,183.66567216567225,262.3290628290628,193.1005616005617,287.26412776412775,208.60073710073718,311.525272025272,168.16549666549676,170.00193050193047,,,,,,,,,160.75236925236933,211.78501228501227,,,,,,,,,,,,,515.2346437346438,138.3276588276588
labeled-data/ClosedHand_Extended/img214.png,,,,,,,374.385222885223,240.76360126360123,381.1244296244297,277.8292383292383,,,,,,,317.77588627588636,275.1335556335556,313.0584415584417,297.3729378729379,311.7106002106003,332.4168129168129,323.1672516672518,358.6997191997192,288.7972972972974,203.6979641979642,275.99280449280457,282.54668304668303,281.38416988417,312.87311337311337,,,,,291.49297999298005,250.19849069849067,,,,,,,,,,,,,512.5389610389611,128.21884871884873
labeled-data/ClosedHand_Extended/img222.png,,,,,,,391.9071604071605,241.43752193752192,396.6246051246052,281.87276237276234,388.5375570375571,312.1991926991927,,,,,337.99350649350663,279.1770796770797,332.6021411021412,315.568796068796,335.29782379782387,343.1995436995437,344.7327132327133,368.8085293085293,308.3409968409969,209.76325026325026,296.88434538434547,271.76395226395226,292.1669006669007,292.65549315549316,298.23218673218685,322.3080028080028,,,313.73236223236233,259.6333801333801,,,,,,,,,275.99280449280457,258.2855387855388,,,511.8650403650405,128.21884871884873
labeled-data/ClosedHand_Extended/img231.png,,,,,,,411.45085995086004,248.85064935064935,414.82046332046343,280.524921024921,403.363811863812,309.50351000351,,,,,360.2328887328888,281.1988416988417,354.8415233415234,307.48174798174796,354.16760266760275,343.1995436995437,358.2111267111268,361.39540189540185,317.10196560196573,215.8285363285363,313.73236223236233,268.39434889434887,313.73236223236233,287.26412776412775,315.75412425412435,315.568796068796,325.1890136890138,345.89522639522636,342.7109512109513,258.9594594594595,,,,,,,,,286.7755352755354,255.58985608985608,,,509.16935766935774,132.26237276237276
labeled-data/ClosedHand_Extended/img244.png,,,,,,,430.99455949455955,242.1114426114426,433.01632151632157,282.54668304668303,,,,,,,388.5375570375571,287.93804843804844,377.08090558090566,313.547034047034,375.05914355914365,343.1995436995437,381.1244296244297,364.76500526500524,347.42839592839607,213.13285363285365,339.3413478413479,269.06826956826956,335.29782379782387,287.93804843804844,335.9717444717446,315.568796068796,343.3848718848719,349.9387504387504,368.31993681993686,258.2855387855388,,,,,,,,,300.25394875394886,257.6116181116181,,,503.7779922779923,126.19708669708672
labeled-data/ClosedHand_Extended/img256.png,,,,,,,426.2771147771149,240.0896805896806,430.99455949455955,283.8945243945244,417.5161460161461,315.568796068796,,,,,383.82011232011246,275.8074763074763,373.71130221130227,311.525272025272,372.363460863461,339.8299403299403,375.05914355914365,360.7214812214812,346.0805545805547,210.43717093717095,333.9499824499825,267.72042822042823,331.25429975429984,287.26412776412775,331.92822042822047,315.568796068796,340.6891891891893,351.96051246051246,360.90680940680954,262.3290628290628,,,,,,,,,298.23218673218685,258.9594594594595,,,503.7779922779923,127.54492804492804
labeled-data/ClosedHand_Extended/img287.png,257.7969462969463,155.17567567567568,,,,,261.1665496665497,206.39364689364692,270.60143910143915,238.74183924183922,269.2535977535978,257.6116181116181,265.21007371007374,275.8074763074763,214.66602316602322,159.2191997191997,189.7309582309583,221.2199017199017,180.29606879606885,246.15496665496664,194.44840294840301,281.1988416988417,209.27465777465787,299.3946998946999,183.66567216567225,162.5888030888031,,,,,,,,,164.79589329589336,200.32836082836081,,,,,,,,,,,,,508.4954369954371,122.82748332748332
labeled-data/ClosedHand_Extended/img306.png,230.1661986661987,145.06686556686554,260.4926289926291,207.74148824148824,,,230.1661986661987,184.82818532818533,232.86188136188142,220.54598104598102,233.5358020358021,238.74183924183922,233.5358020358021,262.3290628290628,185.01351351351357,138.3276588276588,142.55651105651114,201.0022815022815,142.55651105651114,232.67655317655317,158.73060723060732,256.2637767637768,172.88294138294142,277.8292383292383,149.29571779571788,144.3929448929449,,,,,,,,,122.33889083889093,179.43681993681992,,,,,,,,,,,,,515.2346437346438,129.56669006669006
labeled-data/ClosedHand_Extended/img312.png,230.8401193401194,141.02334152334151,251.7316602316603,204.37188487188484,,,216.68778518778524,178.76289926289928,223.42699192699197,219.1981396981397,224.10091260091266,237.3939978939979,223.42699192699197,258.2855387855388,178.94822744822753,136.97981747981748,135.14338364338371,186.84994734994734,131.77378027378032,221.2199017199017,142.55651105651114,250.87241137241136,162.10021060021066,271.0900315900316,135.14338364338371,136.3058968058968,,,,,,,,,111.55616005616011,171.34977184977186,,,,,,,,,,,,,511.19111969111975,131.58845208845207
labeled-data/ClosedHand_Extended/img323.png,222.75307125307134,136.97981747981748,241.62285012285017,200.32836082836081,,,203.88329238329246,172.02369252369255,207.9268164268165,215.8285363285363,207.9268164268165,233.35047385047386,207.2528957528958,249.52457002457004,168.16549666549676,130.91453141453144,120.99104949104955,185.50210600210602,118.96928746928754,209.76325026325026,133.1216216216217,242.1114426114426,150.6435591435592,265.6986661986662,125.70849420849427,132.26237276237276,,,,,,,,,104.14303264303274,162.5888030888031,,,,,,,,,,,,,517.2564057564058,134.28413478413478
labeled-data/ClosedHand_Extended/img325.png,219.38346788346794,134.95805545805547,245.66637416637425,194.93699543699546,,,202.53545103545113,172.69761319761318,205.90505440505447,203.6979641979642,209.9485784485785,226.61126711126713,205.90505440505447,249.52457002457004,174.2307827307828,130.24061074061075,119.64320814320823,181.45858195858193,114.25184275184282,213.8067743067743,129.07809757809767,237.3939978939979,149.96963846963857,265.6986661986662,125.03457353457358,127.54492804492804,,,,,,,,,100.77342927342934,165.2844857844858,,,,,,,,,,,,,511.8650403650405,132.93629343629345
labeled-data/ClosedHand_Extended/img329.png,218.03562653562662,134.95805545805547,239.60108810108815,196.95875745875747,,,198.49192699192704,168.65408915408915,204.55721305721315,205.04580554580554,206.57897507897516,229.30694980694977,205.90505440505447,248.17672867672866,163.44805194805204,126.19708669708672,116.27360477360483,183.480343980344,115.5996840996842,208.41540891540893,126.38241488241496,236.04615654615657,149.96963846963857,264.35082485082484,115.5996840996842,126.87100737100735,,,,,,,,,96.05598455598462,159.8931203931204,,,,,,,,,,,,,510.5171990171991,137.65373815373817
labeled-data/ClosedHand_Extended/img343.png,216.68778518778524,134.28413478413478,239.60108810108815,198.9805194805195,,,203.20937170937177,175.39329589329589,205.23113373113378,204.37188487188484,205.23113373113378,231.32871182871185,202.53545103545113,246.82888732888733,163.44805194805204,126.87100737100735,115.5996840996842,179.43681993681992,111.55616005616011,211.11109161109158,125.70849420849427,235.37223587223588,142.55651105651114,260.9812214812215,118.29536679536685,126.87100737100735,,,,,,,,,92.01246051246059,161.24096174096172,,,,,,,,,,,,,515.2346437346438,136.97981747981748
labeled-data/ClosedHand_Extended/img363.png,218.70954720954725,133.6102141102141,242.97069147069155,200.32836082836081,,,205.90505440505447,179.43681993681992,208.60073710073718,213.13285363285365,207.2528957528958,231.32871182871185,207.9268164268165,250.87241137241136,168.8394173394174,126.87100737100735,117.62144612144621,183.480343980344,116.94752544752552,213.13285363285365,131.77378027378032,242.1114426114426,145.92611442611448,266.37258687258685,124.36065286065295,131.58845208845207,,,,,,,,,94.03422253422261,168.65408915408915,,,,,,,,,,,,,511.8650403650405,139.6755001755002
labeled-data/ClosedHand_Extended/img368.png,221.40522990522996,136.3058968058968,242.29677079677086,201.0022815022815,,,205.90505440505447,179.43681993681992,207.2528957528958,213.8067743067743,208.60073710073718,230.65479115479116,206.57897507897516,250.19849069849067,168.16549666549676,133.6102141102141,116.27360477360483,189.54563004563005,115.5996840996842,215.8285363285363,130.425938925939,241.43752193752192,148.6217971217972,267.04650754650754,121.66497016497024,130.91453141453144,,,,,,,,,98.07774657774664,167.98016848016846,,,,,,,,,,,,,515.2346437346438,136.3058968058968
labeled-data/ClosedHand_Extended/img384.png,226.12267462267468,138.3276588276588,244.31853281853287,200.32836082836081,,,203.88329238329246,178.76289926289928,211.97034047034052,213.13285363285365,209.9485784485785,236.04615654615657,210.6224991224992,250.19849069849067,174.9047034047035,128.21884871884873,123.68673218673226,182.8064233064233,116.94752544752552,216.502457002457,133.7955422955424,248.17672867672866,146.60003510003517,265.0247455247455,125.03457353457358,132.26237276237276,,,,,,,,,95.38206388206393,166.63232713232713,,,,,,,,,,,,,513.2128817128818,140.34942084942082
labeled-data/ClosedHand_Extended/img386.png,226.79659529659537,141.6972621972622,241.62285012285017,201.6762021762022,,,208.60073710073718,176.06721656721658,208.60073710073718,215.8285363285363,210.6224991224992,234.0243945243945,211.29641979641988,255.58985608985608,179.62214812214822,128.89276939276937,120.31712881712886,186.17602667602665,121.66497016497024,217.85029835029837,133.7955422955424,242.1114426114426,151.99140049140058,271.0900315900316,128.40417690417698,130.91453141453144,,,,,,,,,104.14303264303274,168.65408915408915,,,,,,,,,,,,,514.5607230607231,139.6755001755002
labeled-data/ClosedHand_Extended/img388.png,226.79659529659537,137.65373815373817,245.66637416637425,204.37188487188484,,,205.90505440505447,176.06721656721658,211.97034047034052,212.45893295893296,209.9485784485785,232.67655317655317,210.6224991224992,254.9159354159354,176.9264654264655,130.91453141453144,120.31712881712886,189.54563004563005,118.29536679536685,218.524219024219,131.09985959985968,248.85064935064935,147.9478764478765,270.41611091611094,125.70849420849427,134.28413478413478,,,,,,,,,99.42558792558802,165.95840645840644,,,,,,,,,,,,,516.5824850824852,140.34942084942082
labeled-data/ClosedHand_Extended/img389.png,224.77483327483336,136.3058968058968,242.97069147069155,201.0022815022815,,,207.9268164268165,176.74113724113727,208.60073710073718,210.43717093717095,213.3181818181819,232.67655317655317,210.6224991224992,251.54633204633205,174.2307827307828,132.93629343629345,121.66497016497024,186.84994734994734,118.29536679536685,216.502457002457,130.425938925939,241.43752193752192,149.96963846963857,270.41611091611094,128.40417690417698,139.0015795015795,,,,,,,,,96.72990522990531,167.30624780624782,,,,,,,,,,,,,512.5389610389611,139.6755001755002
labeled-data/ClosedHand_Extended/img408.png,222.07915057915065,141.6972621972622,242.97069147069155,201.6762021762022,,,208.60073710073718,176.06721656721658,212.6442611442612,215.8285363285363,208.60073710073718,235.37223587223588,207.2528957528958,253.56809406809407,171.5351000351001,131.58845208845207,118.96928746928754,186.17602667602665,114.25184275184282,219.8720603720604,130.425938925939,246.82888732888733,151.3174798174799,269.06826956826956,125.03457353457358,130.24061074061075,,,,,,,,,96.72990522990531,168.65408915408915,,,,,,,,,,,,,514.5607230607231,135.6319761319761
labeled-data/ClosedHand_Extended/img410.png,222.75307125307134,140.34942084942082,244.99245349245356,202.35012285012283,,,202.53545103545113,180.7846612846613,209.27465777465787,210.43717093717095,211.29641979641988,233.35047385047386,205.90505440505447,252.2202527202527,172.88294138294142,134.28413478413478,118.96928746928754,190.21955071955074,114.9257634257635,221.8938223938224,130.425938925939,243.45928395928394,145.92611442611448,271.0900315900316,123.68673218673226,132.93629343629345,,,,,,,,,97.403825903826,169.32800982800984,,,,,,,,,,,,,514.5607230607231,141.6972621972622
labeled-data/ClosedHand_Extended/img416.png,219.38346788346794,137.65373815373817,246.3402948402949,203.6979641979642,,,203.20937170937177,176.74113724113727,207.9268164268165,217.17637767637768,207.9268164268165,233.35047385047386,209.9485784485785,250.87241137241136,170.8611793611794,132.93629343629345,119.64320814320823,185.50210600210602,115.5996840996842,216.502457002457,129.7520182520183,244.80712530712532,149.96963846963857,269.74219024219025,117.62144612144621,134.95805545805547,,,,,,,,,98.07774657774664,171.34977184977186,,,,,,,,,,,,,513.8868023868025,141.6972621972622
